 SITE CODE= 532小千谷市城内              
 LAT.=   37.3130
 LON.=  138.7916
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2004 10 23 17 55 50
 NS,EW,UD
0.039,-0.001,-0.013
0.043,-0.002,-0.009
0.026,-0.012,0.007
0.001,-0.016,0.008
-0.017,-0.008,0.005
-0.026,-0.004,-0.011
-0.032,0.009,-0.018
-0.014,0.014,-0.002
0.003,0.002,0.015
0.007,-0.007,0.014
0.013,-0.013,-0.003
0.038,0.006,-0.023
0.050,0.020,-0.003
0.011,0.015,0.016
-0.031,0.002,0.015
-0.043,-0.022,-0.002
-0.021,-0.010,-0.021
0.002,0.006,0.002
0.000,0.001,0.020
0.009,0.002,0.004
0.021,-0.005,-0.007
0.014,-0.012,-0.005
-0.004,-0.007,-0.002
-0.012,0.003,0.004
-0.010,0.016,0.001
-0.010,0.010,-0.004
-0.021,0.000,-0.001
-0.012,-0.015,-0.007
0.010,-0.021,-0.009
0.020,0.002,0.000
0.015,0.012,0.009
-0.009,0.012,0.003
-0.008,0.002,-0.007
-0.005,0.001,-0.013
-0.010,-0.002,-0.004
-0.011,-0.019,0.011
-0.008,-0.017,0.020
0.017,-0.006,0.010
0.021,0.001,-0.007
0.016,0.011,-0.006
0.013,0.014,-0.001
-0.011,0.000,-0.001
-0.023,-0.011,-0.005
-0.013,-0.022,0.003
-0.005,-0.019,0.005
0.006,0.000,0.004
0.016,0.020,-0.001
0.020,0.024,0.000
0.011,0.008,0.014
-0.008,-0.013,0.010
-0.015,-0.023,-0.003
-0.025,-0.011,-0.015
-0.024,0.002,-0.005
-0.004,0.014,0.012
0.011,0.000,0.012
0.012,-0.009,0.005
0.005,-0.004,-0.002
0.005,-0.005,-0.008
0.006,0.020,-0.004
-0.004,0.020,0.002
-0.004,-0.004,-0.004
-0.003,-0.016,-0.003
-0.016,-0.024,-0.004
-0.018,-0.016,-0.004
-0.013,-0.002,-0.001
-0.005,0.002,0.000
0.009,0.017,0.013
0.023,0.016,0.012
0.020,-0.005,-0.005
0.004,0.005,-0.007
-0.014,0.002,-0.002
-0.038,0.007,-0.002
-0.025,0.013,0.013
-0.001,-0.002,0.013
0.010,-0.018,0.005
0.029,-0.028,0.009
0.028,-0.007,0.005
0.015,0.007,0.004
-0.006,0.013,-0.007
-0.019,0.009,-0.018
-0.013,0.000,-0.010
-0.013,-0.009,0.010
-0.006,-0.012,0.016
0.012,-0.007,0.005
0.024,-0.006,-0.005
0.024,0.011,-0.012
0.021,0.008,-0.006
-0.004,-0.005,-0.001
-0.020,-0.001,0.007
-0.025,0.008,0.011
-0.021,0.009,0.005
-0.009,0.006,0.005
-0.006,0.002,0.004
0.002,-0.016,-0.003
0.005,-0.011,0.000
0.017,-0.008,0.003
0.015,-0.006,-0.009
0.013,-0.004,0.000
0.019,-0.002,-0.001
-0.004,0.012,-0.003
-0.026,0.013,0.007
-0.042,0.009,0.004
-0.027,-0.012,0.007
-0.013,-0.010,-0.002
0.006,-0.006,0.006
0.034,-0.002,0.008
0.038,0.005,-0.005
0.021,0.003,-0.004
-0.002,0.012,0.000
-0.020,0.001,0.013
-0.036,-0.004,0.005
-0.020,-0.014,-0.008
0.008,-0.001,-0.013
0.037,0.013,-0.002
0.034,0.011,0.009
0.020,0.013,0.008
0.013,-0.005,-0.001
-0.024,-0.005,-0.013
-0.034,-0.005,0.004
-0.025,0.011,0.006
-0.001,0.012,0.006
0.005,0.001,0.002
0.001,0.000,0.005
0.012,-0.012,0.014
-0.004,-0.010,0.004
-0.005,-0.008,0.004
-0.001,0.013,-0.006
0.003,0.004,0.005
-0.002,-0.013,0.012
-0.005,-0.020,0.002
0.002,-0.023,-0.002
0.001,0.008,-0.007
0.007,0.012,0.013
0.002,0.009,0.014
0.004,0.005,0.009
0.001,-0.001,-0.002
-0.006,-0.006,-0.017
-0.013,-0.007,-0.010
-0.020,-0.005,-0.002
-0.012,-0.010,0.010
0.002,-0.002,0.012
0.017,-0.003,0.008
0.010,0.017,-0.003
0.009,0.018,-0.007
-0.001,0.012,0.002
-0.006,0.020,0.003
-0.001,0.005,-0.007
-0.011,-0.007,-0.009
-0.001,-0.030,0.007
0.004,-0.014,0.005
0.012,-0.002,0.007
0.022,0.012,0.000
0.026,0.025,-0.001
0.007,-0.002,0.005
-0.029,-0.003,0.002
-0.028,-0.005,0.011
-0.030,0.008,-0.002
-0.018,0.007,-0.003
0.004,0.002,-0.002
0.031,0.005,-0.011
0.034,-0.006,-0.008
