SITE CODE= EEB熊本西区春日              ,32.7755,130.8495,  8,5.8,42474.9219329,  3.09,  5.24
 LAT.=   32.7866
 LON.=  130.6876
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 14 22 06 10
 NS,EW,UD
-0.132,0.052,-0.063
-0.120,0.149,0.015
-0.118,0.132,0.089
-0.142,0.022,0.113
-0.184,-0.068,0.089
-0.218,-0.061,0.051
-0.223,0.014,0.030
-0.187,0.066,0.027
-0.112,0.036,0.024
-0.011,-0.049,0.011
0.091,-0.118,-0.009
0.155,-0.109,-0.025
0.156,-0.023,-0.032
0.089,0.085,-0.029
-0.013,0.144,-0.012
-0.104,0.123,0.018
-0.149,0.059,0.045
-0.143,0.026,0.049
-0.116,0.053,0.023
-0.107,0.093,-0.009
-0.138,0.076,-0.020
-0.191,0.004,-0.002
-0.230,-0.056,0.020
-0.222,-0.048,0.017
-0.166,-0.006,-0.010
-0.093,-0.002,-0.035
-0.050,-0.049,-0.030
-0.057,-0.075,0.006
-0.090,-0.013,0.053
-0.104,0.107,0.084
-0.068,0.180,0.081
0.001,0.133,0.042
0.049,0.002,-0.014
0.039,-0.107,-0.059
-0.016,-0.114,-0.059
-0.072,-0.028,-0.012
-0.100,0.074,0.053
-0.109,0.115,0.099
-0.121,0.074,0.109
-0.142,-0.002,0.091
-0.160,-0.046,0.059
-0.171,-0.023,0.021
-0.186,0.030,-0.016
-0.207,0.053,-0.041
-0.216,0.022,-0.038
-0.178,-0.022,-0.014
-0.084,-0.027,0.007
0.039,0.008,0.015
0.130,0.037,0.020
0.136,0.025,0.034
0.050,-0.014,0.041
-0.073,-0.044,0.019
-0.153,-0.046,-0.029
-0.146,-0.032,-0.062
-0.077,-0.016,-0.035
-0.027,0.000,0.039
-0.050,0.012,0.100
-0.117,0.011,0.093
-0.153,0.003,0.022
-0.119,0.017,-0.056
-0.067,0.081,-0.091
-0.078,0.168,-0.069
-0.165,0.207,-0.009
-0.254,0.155,0.060
-0.250,0.046,0.112
-0.148,-0.044,0.122
-0.039,-0.068,0.086
-0.007,-0.044,0.030
-0.047,-0.021,-0.002
-0.079,-0.016,0.010
-0.042,-0.017,0.037
0.037,-0.010,0.030
0.080,0.004,-0.023
0.043,0.020,-0.080
-0.041,0.041,-0.081
-0.117,0.057,-0.016
-0.162,0.041,0.059
-0.193,-0.012,0.080
-0.215,-0.077,0.032
-0.207,-0.099,-0.035
-0.149,-0.061,-0.067
-0.069,0.000,-0.048
-0.026,0.032,-0.004
-0.060,0.027,0.034
-0.139,0.021,0.057
-0.194,0.048,0.071
-0.178,0.093,0.077
-0.101,0.109,0.070
-0.011,0.074,0.056
0.050,0.007,0.048
0.055,-0.048,0.048
0.011,-0.065,0.041
-0.053,-0.044,0.014
-0.086,0.001,-0.021
-0.051,0.050,-0.034
0.029,0.084,-0.004
0.076,0.078,0.043
0.023,0.032,0.066
-0.112,-0.027,0.045
-0.239,-0.054,0.001
-0.281,-0.023,-0.028
-0.236,0.039,-0.029
-0.170,0.080,-0.021
-0.132,0.061,-0.023
-0.116,-0.000,-0.036
-0.098,-0.056,-0.037
-0.086,-0.064,-0.014
-0.099,-0.034,0.019
-0.139,-0.005,0.044
-0.162,-0.006,0.050
-0.131,-0.017,0.043
-0.054,0.006,0.036
0.022,0.078,0.028
0.053,0.160,0.018
0.034,0.176,0.008
-0.013,0.098,0.007
-0.066,-0.021,0.021
-0.111,-0.089,0.038
-0.146,-0.063,0.047
-0.164,0.009,0.047
-0.167,0.042,0.051
-0.153,0.003,0.066
-0.119,-0.062,0.075
-0.069,-0.086,0.054
-0.020,-0.052,0.003
-0.009,-0.002,-0.053
-0.044,0.021,-0.076
-0.092,0.026,-0.061
-0.104,0.044,-0.032
-0.062,0.079,-0.012
-0.002,0.103,-0.004
0.015,0.095,0.007
-0.032,0.064,0.023
-0.109,0.037,0.038
-0.162,0.022,0.038
-0.160,0.002,0.024
-0.112,-0.035,0.010
-0.059,-0.069,0.004
-0.037,-0.076,0.007
-0.064,-0.052,0.016
-0.125,-0.018,0.029
-0.187,0.009,0.043
-0.214,0.027,0.054
-0.191,0.047,0.055
-0.134,0.068,0.048
-0.077,0.080,0.040
-0.039,0.074,0.034
-0.025,0.052,0.026
-0.024,0.023,0.013
-0.030,0.005,-0.007
-0.041,0.003,-0.026
-0.054,0.009,-0.037
-0.067,0.002,-0.033
-0.086,-0.036,-0.012
-0.112,-0.087,0.019
-0.134,-0.101,0.048
-0.126,-0.043,0.055
-0.081,0.056,0.038
-0.035,0.121,0.014
-0.037,0.102,0.009
-0.103,0.030,0.024
-0.186,-0.018,0.043
-0.206,-0.011,0.039
-0.136,0.011,0.011
-0.023,-0.010,-0.025
0.047,-0.062,-0.045
0.021,-0.073,-0.044
-0.073,0.000,-0.029
-0.154,0.110,-0.002
-0.155,0.162,0.033
-0.075,0.117,0.069
0.020,0.032,0.084
0.050,-0.001,0.069
-0.011,0.043,0.029
-0.111,0.107,-0.011
-0.181,0.109,-0.029
-0.184,0.032,-0.021
-0.148,-0.071,0.002
-0.114,-0.133,0.024
-0.094,-0.123,0.034
-0.072,-0.064,0.030
-0.050,0.002,0.021
-0.058,0.045,0.017
-0.111,0.062,0.027
-0.168,0.062,0.044
-0.160,0.055,0.045
-0.077,0.046,0.018
0.009,0.037,-0.023
0.011,0.020,-0.045
-0.076,-0.010,-0.026
-0.164,-0.047,0.019
-0.175,-0.068,0.051
-0.108,-0.046,0.045
-0.041,0.020,0.009
-0.031,0.096,-0.027
-0.069,0.132,-0.037
-0.100,0.105,-0.018
-0.087,0.040,0.015
-0.046,-0.016,0.049
-0.014,-0.041,0.069
-0.024,-0.050,0.066
-0.069,-0.066,0.041
-0.118,-0.078,0.015
-0.138,-0.054,0.010
-0.115,0.008,0.029
-0.070,0.061,0.053
-0.037,0.063,0.055
-0.044,0.023,0.032
-0.084,0.002,0.005
-0.121,0.034,-0.003
-0.131,0.093,0.009
-0.109,0.107,0.017
-0.084,0.043,0.011
-0.081,-0.052,-0.009
-0.111,-0.105,-0.020
-0.155,-0.073,-0.014
-0.177,0.013,-0.000
-0.157,0.085,0.011
-0.105,0.096,0.013
-0.055,0.043,0.008
-0.038,-0.022,-0.000
-0.060,-0.045,-0.010
-0.095,-0.005,-0.016
-0.112,0.057,-0.012
-0.094,0.080,0.009
-0.048,0.034,0.037
0.000,-0.041,0.057
0.023,-0.074,0.051
0.005,-0.032,0.021
-0.046,0.052,-0.013
-0.103,0.114,-0.027
-0.141,0.120,-0.013
-0.157,0.083,0.019
-0.160,0.029,0.043
-0.160,-0.023,0.045
-0.148,-0.064,0.029
-0.115,-0.072,0.020
-0.076,-0.027,0.030
-0.059,0.049,0.053
-0.082,0.105,0.064
-0.121,0.100,0.048
-0.138,0.043,0.011
-0.115,-0.018,-0.021
-0.079,-0.041,-0.029
-0.066,-0.026,-0.012
-0.084,-0.002,0.009
-0.098,0.005,0.014
-0.077,-0.012,0.011
-0.024,-0.042,0.011
0.017,-0.066,0.021
0.010,-0.069,0.033
-0.037,-0.041,0.027
-0.084,0.008,0.005
-0.096,0.054,-0.010
-0.087,0.078,0.003
-0.091,0.077,0.034
-0.130,0.057,0.054
-0.184,0.030,0.038
-0.199,0.002,-0.004
-0.145,-0.016,-0.036
-0.047,-0.006,-0.029
0.032,0.026,0.008
0.043,0.050,0.045
-0.010,0.029,0.055
-0.077,-0.031,0.037
-0.112,-0.080,0.010
-0.118,-0.060,-0.008
-0.122,0.031,-0.005
-0.137,0.135,0.014
-0.140,0.174,0.037
-0.100,0.119,0.048
-0.021,0.013,0.038
0.045,-0.072,0.014
0.037,-0.086,-0.007
-0.051,-0.038,-0.007
-0.161,0.026,0.011
-0.216,0.066,0.021
-0.186,0.067,0.012
-0.107,0.036,-0.012
-0.049,-0.009,-0.023
-0.043,-0.055,-0.003
-0.069,-0.078,0.029
-0.087,-0.062,0.048
-0.089,-0.008,0.039
-0.087,0.054,0.021
-0.095,0.085,0.016
-0.102,0.066,0.026
-0.094,0.016,0.032
-0.078,-0.022,0.014
-0.075,-0.021,-0.016
-0.093,0.018,-0.032
-0.117,0.071,-0.018
-0.126,0.103,0.016
-0.118,0.096,0.041
-0.112,0.050,0.038
-0.111,-0.004,0.011
-0.109,-0.032,-0.019
-0.098,-0.011,-0.031
-0.088,0.046,-0.018
-0.089,0.092,0.014
-0.091,0.085,0.051
-0.075,0.025,0.075
-0.036,-0.041,0.075
-0.012,-0.060,0.053
-0.034,-0.025,0.025
-0.091,0.020,0.012
-0.131,0.025,0.016
-0.108,-0.012,0.023
-0.040,-0.055,0.015
0.007,-0.073,-0.010
-0.020,-0.073,-0.036
-0.103,-0.073,-0.037
-0.178,-0.066,-0.013
-0.190,-0.025,0.020
-0.143,0.052,0.037
-0.084,0.121,0.035
-0.053,0.130,0.023
-0.054,0.081,0.013
-0.073,0.023,0.009
-0.096,0.003,0.009
-0.119,0.018,0.017
-0.126,0.037,0.034
-0.107,0.043,0.051
-0.075,0.035,0.052
-0.059,0.019,0.033
-0.082,-0.014,0.011
-0.119,-0.061,0.004
-0.129,-0.095,0.014
-0.097,-0.078,0.018
-0.054,-0.013,0.004
-0.036,0.057,-0.021
-0.047,0.089,-0.030
-0.057,0.078,-0.010
-0.054,0.057,0.020
-0.061,0.052,0.032
-0.089,0.056,0.020
-0.114,0.044,0.004
-0.096,0.009,0.004
-0.042,-0.027,0.014
-0.005,-0.028,0.019
-0.034,0.013,0.007
-0.104,0.064,-0.009
-0.150,0.084,-0.007
-0.136,0.056,0.020
-0.096,0.008,0.055
-0.087,-0.018,0.077
-0.117,-0.001,0.075
-0.141,0.033,0.055
-0.126,0.050,0.027
-0.086,0.030,0.001
-0.062,-0.009,-0.020
-0.070,-0.043,-0.031
-0.086,-0.052,-0.037
-0.085,-0.040,-0.045
-0.069,-0.018,-0.058
-0.053,0.011,-0.068
-0.050,0.037,-0.047
-0.065,0.060,0.023
-0.099,0.068,0.137
-0.148,0.053,0.235
-0.179,0.020,0.239
-0.146,-0.020,0.103
-0.046,-0.047,-0.113
0.059,-0.042,-0.268
0.077,-0.000,-0.232
-0.019,0.057,-0.007
-0.155,0.093,0.241
-0.221,0.078,0.311
-0.168,0.014,0.144
-0.054,-0.048,-0.118
0.012,-0.048,-0.252
-0.036,0.034,-0.150
-0.166,0.133,0.084
-0.281,0.136,0.247
-0.282,0.000,0.207
-0.147,-0.180,0.014
0.043,-0.230,-0.169
0.150,-0.074,-0.203
0.078,0.161,-0.072
-0.122,0.257,0.112
-0.278,0.124,0.207
-0.234,-0.097,0.132
-0.020,-0.185,-0.063
0.161,-0.062,-0.225
0.117,0.128,-0.214
-0.117,0.194,-0.026
-0.309,0.084,0.193
-0.265,-0.084,0.274
-0.035,-0.166,0.169
0.138,-0.113,-0.017
0.076,0.014,-0.132
-0.151,0.110,-0.102
-0.319,0.106,0.025
-0.280,0.014,0.148
-0.094,-0.066,0.185
0.057,-0.032,0.118
0.062,0.104,-0.003
-0.047,0.197,-0.097
-0.155,0.116,-0.098
-0.177,-0.077,-0.016
-0.117,-0.184,0.066
-0.050,-0.096,0.066
-0.052,0.067,-0.015
-0.120,0.105,-0.093
-0.174,-0.004,-0.090
-0.135,-0.083,-0.016
-0.034,0.009,0.050
0.007,0.187,0.056
-0.086,0.239,0.021
-0.216,0.074,0.004
-0.219,-0.180,0.025
